GameID,Goal Scored,Attempts,On-Target,Corners,Free Kicks,Fouls Committed,Yellow Card,Red,Own goal Time
0,5,13,7,6,11,22,0,0,
1,0,6,0,2,25,10,0,0,
2,0,8,3,0,7,12,2,0,
3,1,14,4,5,13,6,0,0,
4,0,13,3,5,14,22,1,0,90
5,1,8,2,2,22,14,3,0,
6,3,8,3,4,13,12,1,0,
7,3,12,5,5,13,10,1,0,
8,2,12,5,5,19,16,1,0,
9,1,4,1,1,16,19,3,0,81
10,1,26,7,10,15,10,0,0,
11,1,9,3,2,10,15,0,0,
12,0,18,6,3,21,10,1,0,
13,1,10,3,7,15,18,2,0,
14,2,11,2,6,17,20,2,0,
15,0,14,2,5,22,16,1,0,32
16,0,10,3,5,18,18,2,0,
17,1,10,3,4,19,15,2,0,
18,0,25,9,8,17,10,2,0,
19,1,12,4,1,11,15,2,0,
20,1,20,4,7,19,12,1,0,
21,1,6,2,2,13,19,3,0,
22,1,15,4,6,23,20,1,0,
23,0,5,0,5,21,23,2,0,
24,3,15,6,9,21,17,3,0,
25,0,6,2,3,18,18,5,0,
26,1,6,1,2,11,14,0,0,
27,2,17,7,7,16,8,1,0,
28,1,8,3,3,10,15,2,1,
29,2,14,6,6,17,9,1,0,
30,1,10,4,3,18,8,1,0,37
31,2,8,2,3,11,15,2,0,
32,3,11,3,7,10,11,1,0,
33,1,13,1,4,11,10,1,0,47
34,1,10,2,5,24,19,1,0,
35,0,16,4,7,20,23,1,0,
36,1,13,4,3,15,10,0,0,
37,0,8,3,4,11,13,0,0,
38,0,5,0,2,15,14,2,0,
39,1,17,3,6,16,14,0,0,
40,1,10,5,3,5,7,2,0,
41,1,14,5,5,8,5,0,0,
42,1,12,4,5,16,11,2,0,
43,0,10,2,3,11,15,2,0,
44,0,10,3,5,26,15,3,0,
45,3,15,5,2,18,23,4,0,
46,2,23,9,10,14,11,2,0,
47,0,4,0,1,14,11,1,0,
48,2,16,4,6,10,9,1,0,
49,0,10,3,5,10,10,0,0,
50,1,12,3,3,15,17,4,0,
51,2,20,5,7,17,12,1,0,
52,5,23,12,5,16,12,0,0,
53,2,15,5,2,15,13,1,0,
54,1,17,6,7,7,24,4,0,
55,2,13,5,5,24,7,0,0,
56,2,16,5,8,15,12,0,0,
57,1,8,6,3,17,13,2,0,
58,6,12,7,3,13,14,1,0,
59,1,8,2,2,17,13,3,0,
60,2,7,3,2,18,8,2,0,
61,2,14,7,5,10,14,3,0,
62,0,9,2,7,11,15,2,0,
63,3,13,3,5,16,10,0,0,
64,3,17,7,4,20,17,1,0,
65,0,3,1,2,17,18,1,0,23
66,2,22,7,7,19,7,0,0,
67,1,8,1,2,8,16,2,0,
68,2,16,4,7,18,5,0,0,
69,2,6,3,1,6,17,6,0,
70,1,8,2,1,12,16,2,0,
71,1,14,4,5,17,11,4,0,
72,0,5,1,4,11,10,1,0,
73,0,11,4,2,11,10,0,0,
74,0,14,2,8,13,13,4,0,
75,2,4,3,3,16,12,2,0,
76,1,9,3,3,17,20,2,0,
77,2,8,4,5,20,15,3,0,
78,1,17,6,10,12,10,3,0,
79,2,13,2,5,11,12,2,0,
80,2,11,5,3,8,16,4,0,
81,0,26,6,9,16,7,0,0,
82,0,19,3,7,11,14,3,0,74
83,3,13,5,3,16,11,2,0,
84,0,10,1,5,11,13,3,0,
85,2,13,6,9,15,7,0,0,
86,2,12,3,6,15,9,3,0,90
87,2,14,6,5,10,14,3,0,
88,0,10,3,5,8,11,1,0,
89,1,11,2,7,12,8,0,0,
90,0,8,3,1,18,15,1,0,
91,1,4,2,3,18,15,1,0,
92,1,9,4,0,20,18,3,0,
93,2,15,7,6,22,19,3,0,33
94,0,13,1,7,15,11,0,0,
95,1,15,4,2,14,14,2,0,
96,4,9,4,0,16,21,3,0,
97,3,9,4,4,21,15,5,0,
98,2,6,3,2,14,13,0,0,
99,1,20,5,10,13,13,1,0,
100,1,25,9,6,20,5,1,0,
101,1,6,1,5,6,19,2,0,12
102,1,22,7,5,19,5,0,0,
103,1,15,3,4,7,19,1,0,
104,2,21,10,8,20,6,2,0,
105,0,13,1,7,6,18,4,0,
106,3,24,8,10,10,13,0,0,
107,2,11,4,6,14,9,1,0,
108,1,12,3,3,13,11,1,0,
109,0,18,4,11,12,13,2,1,
110,1,14,4,2,15,23,6,0,
111,1,16,2,7,24,13,2,0,
112,0,11,4,4,15,17,2,0,
113,2,11,2,3,17,15,2,0,
114,1,26,9,8,16,14,2,0,13
115,2,8,3,4,15,16,2,0,
116,0,7,3,1,8,10,2,0,
117,2,12,2,6,12,7,1,0,
118,2,13,7,6,18,25,1,0,
119,2,17,3,8,26,18,4,0,
120,1,19,5,4,17,6,2,0,
121,0,9,3,5,7,16,3,0,
122,2,22,7,8,17,23,2,0,
123,1,11,1,4,24,14,1,0,
124,2,12,4,4,5,11,1,0,
125,0,15,5,5,12,5,2,0,
126,4,8,6,2,14,14,2,0,18
127,2,15,3,6,15,13,1,0,
