datetime,n. trips,n. collisions
2014-01-01,420810,399
2014-01-02,359958,603
2014-01-03,275470,423
2014-01-04,417499,418
2014-01-05,388542,320
2014-01-06,395445,518
2014-01-07,460052,491
2014-01-08,473611,616
2014-01-09,479714,561
2014-01-10,507732,667
2014-01-11,511172,465
2014-01-12,450487,388
2014-01-13,419698,568
2014-01-14,454108,558
2014-01-15,466443,583
2014-01-16,482037,521
2014-01-17,490852,589
2014-01-18,507033,448
2014-01-19,462238,380
2014-01-20,378450,360
2014-01-21,255518,1161
2014-01-22,377773,498
2014-01-23,462469,612
2014-01-24,509509,705
2014-01-25,530551,475
2014-01-26,457026,465
2014-01-27,418863,511
2014-01-28,468729,504
2014-01-29,477984,649
2014-01-30,495971,657
2014-01-31,526748,560
2014-02-01,533783,507
2014-02-02,464225,417
2014-02-03,382517,960
2014-02-04,454444,613
2014-02-05,413853,468
2014-02-06,478790,569
2014-02-07,512218,675
2014-02-08,549967,424
2014-02-09,466492,450
2014-02-10,435911,678
2014-02-11,489373,636
2014-02-12,481968,640
2014-02-13,326187,447
2014-02-14,472229,791
2014-02-15,491375,516
2014-02-16,457332,464
2014-02-17,391723,491
2014-02-18,419655,518
2014-02-19,446126,552
2014-02-20,466020,556
2014-02-21,503515,545
2014-02-22,522080,587
2014-02-23,442458,414
2014-02-24,439480,569
2014-02-25,472383,513
2014-02-26,492982,511
2014-02-27,512342,571
2014-02-28,544363,655
2014-03-01,554906,497
2014-03-02,462065,344
2014-03-03,463982,440
2014-03-04,499349,532
2014-03-05,508381,491
2014-03-06,531137,558
2014-03-07,547177,533
2014-03-08,551574,515
2014-03-09,473451,404
2014-03-10,442200,513
2014-03-11,456983,510
2014-03-12,483326,515
2014-03-13,549191,545
2014-03-14,539176,585
2014-03-15,547916,519
2014-03-16,485008,412
2014-03-17,433321,519
2014-03-18,469975,551
2014-03-19,489567,525
2014-03-20,500070,627
2014-03-21,516535,589
2014-03-22,534441,493
2014-03-23,480744,427
2014-03-24,443322,547
2014-03-25,461531,474
2014-03-26,502757,563
2014-03-27,507907,538
2014-03-28,522404,530
2014-03-29,574530,569
2014-03-30,462771,437
2014-03-31,432430,559
2014-04-01,462503,549
2014-04-02,483841,519
2014-04-03,499912,592
2014-04-04,544519,622
2014-04-05,543175,580
2014-04-06,475267,484
2014-04-07,460614,533
2014-04-08,467018,606
2014-04-09,484663,595
2014-04-10,498870,645
2014-04-11,506025,609
2014-04-12,540202,578
2014-04-13,472041,482
2014-04-14,419268,513
2014-04-15,481424,452
2014-04-16,495438,570
2014-04-17,508415,508
2014-04-18,514893,496
2014-04-19,483916,526
2014-04-20,429066,393
2014-04-21,421347,521
2014-04-22,463407,459
2014-04-23,501335,536
2014-04-24,505056,586
2014-04-25,526282,617
2014-04-26,540090,548
2014-04-27,473210,449
2014-04-28,436246,597
2014-04-29,483147,555
2014-04-30,497569,651
2014-05-01,492691,650
2014-05-02,516985,698
2014-05-03,544063,590
2014-05-04,475789,451
2014-05-05,461342,618
2014-05-06,483245,565
2014-05-07,484552,603
2014-05-08,508104,596
2014-05-09,523936,584
2014-05-10,527537,549
2014-05-11,454120,584
2014-05-12,437492,581
2014-05-13,473044,560
2014-05-14,466666,638
2014-05-15,495003,659
2014-05-16,515834,700
2014-05-17,506831,619
2014-05-18,473932,507
2014-05-19,452923,572
2014-05-20,472199,650
2014-05-21,483979,575
2014-05-22,489262,593
2014-05-23,495859,660
2014-05-24,413311,486
2014-05-25,378073,472
2014-05-26,336173,433
2014-05-27,432969,645
2014-05-28,472420,538
2014-05-29,489739,663
2014-05-30,503977,650
2014-05-31,511991,587
2014-06-01,435163,604
2014-06-02,428122,643
2014-06-03,462670,663
2014-06-04,482348,582
2014-06-05,501694,569
2014-06-06,495170,743
2014-06-07,504156,623
2014-06-08,434856,516
2014-06-09,440162,528
2014-06-10,463614,569
2014-06-11,477219,576
2014-06-12,498857,563
2014-06-13,496516,708
2014-06-14,487611,612
2014-06-15,414417,475
2014-06-16,423175,622
2014-06-17,449368,666
2014-06-18,472667,663
2014-06-19,487104,675
2014-06-20,485548,765
2014-06-21,473409,557
2014-06-22,430757,477
2014-06-23,413205,644
2014-06-24,441878,632
2014-06-25,468089,646
2014-06-26,486884,670
2014-06-27,474158,660
2014-06-28,472015,611
2014-06-29,402696,537
2014-06-30,409501,609
